,atr
0,glimepiride_pioglitazone
1,tolbutamide
2,glipizide_metformin
3,tolazamide
4,miglitol
5,chlorpropamide
6,acarbose
7,nateglinide
8,number_emergency
9,glyburide_metformin
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,number_inpatient
16,pioglitazone
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_medications
23,num_procedures
24,time_in_hospital
25,diag_1
26,diag_2
27,diag_3
28,insulin
29,change
30,gender
31,readmitted
32,citoglipton
33,examide
34,metformin_rosiglitazone
35,metformin_pioglitazone
36,troglitazone
37,acetohexamide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
