,atr
0,acetohexamide
1,metformin_pioglitazone
2,troglitazone
3,tolbutamide
4,glipizide_metformin
5,tolazamide
6,miglitol
7,chlorpropamide
8,number_emergency
9,acarbose
10,nateglinide
11,glyburide_metformin
12,number_outpatient
13,repaglinide
14,max_glu_serum
15,glimepiride
16,number_inpatient
17,rosiglitazone
18,pioglitazone
19,race
20,glyburide
21,glipizide
22,a1cresult
23,metformin
24,num_medications
25,num_procedures
26,time_in_hospital
27,diag_1
28,diag_2
29,diag_3
30,insulin
31,change
32,gender
33,readmitted
34,glimepiride_pioglitazone
35,metformin_rosiglitazone
36,citoglipton
37,examide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
