,atr
0,tolbutamide
1,miglitol
2,tolazamide
3,chlorpropamide
4,number_emergency
5,acarbose
6,glyburide_metformin
7,nateglinide
8,number_outpatient
9,repaglinide
10,max_glu_serum
11,glimepiride
12,rosiglitazone
13,number_inpatient
14,pioglitazone
15,race
16,glyburide
17,glipizide
18,a1cresult
19,metformin
20,num_medications
21,num_procedures
22,time_in_hospital
23,diag_1
24,diag_2
25,diag_3
26,insulin
27,gender
28,change
29,readmitted
30,glimepiride_pioglitazone
31,acetohexamide
32,examide
33,metformin_pioglitazone
34,citoglipton
35,metformin_rosiglitazone
36,troglitazone
37,glipizide_metformin
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
