,atr
0,metformin_pioglitazone
1,glimepiride_pioglitazone
2,glipizide_metformin
3,tolbutamide
4,miglitol
5,tolazamide
6,chlorpropamide
7,number_emergency
8,acarbose
9,glyburide_metformin
10,nateglinide
11,number_outpatient
12,repaglinide
13,max_glu_serum
14,glimepiride
15,rosiglitazone
16,number_inpatient
17,pioglitazone
18,race
19,glyburide
20,glipizide
21,a1cresult
22,metformin
23,num_medications
24,num_procedures
25,time_in_hospital
26,diag_1
27,diag_2
28,diag_3
29,insulin
30,gender
31,change
32,readmitted
33,acetohexamide
34,examide
35,metformin_rosiglitazone
36,troglitazone
37,citoglipton
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
