,atr
0,acetohexamide
1,metformin_pioglitazone
2,troglitazone
3,glipizide_metformin
4,tolbutamide
5,miglitol
6,tolazamide
7,chlorpropamide
8,number_emergency
9,acarbose
10,glyburide_metformin
11,nateglinide
12,number_outpatient
13,repaglinide
14,max_glu_serum
15,glimepiride
16,rosiglitazone
17,number_inpatient
18,pioglitazone
19,race
20,glyburide
21,glipizide
22,a1cresult
23,metformin
24,num_medications
25,num_procedures
26,time_in_hospital
27,diag_1
28,diag_2
29,diag_3
30,insulin
31,gender
32,change
33,readmitted
34,citoglipton
35,examide
36,glimepiride_pioglitazone
37,metformin_rosiglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
