,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,insulin,change
3,time_in_hospital,num_medications
4,num_procedures,num_medications
5,metformin,change
6,num_lab_procedures,time_in_hospital
7,metformin,diabetesmed
8,number_emergency,number_inpatient
9,num_lab_procedures,num_medications
10,num_lab_procedures,a1cresult
11,number_diagnoses,num_medications
12,change,num_medications
13,number_inpatient,readmitted
14,insulin,num_medications
15,number_diagnoses,time_in_hospital
16,glipizide,diabetesmed
17,age,number_diagnoses
18,glipizide,change
19,pioglitazone,change
20,time_in_hospital,num_procedures
21,rosiglitazone,change
22,glyburide,diabetesmed
23,diabetesmed,num_medications
24,glyburide,change
25,pioglitazone,diabetesmed
26,num_lab_procedures,number_diagnoses
27,rosiglitazone,diabetesmed
28,metformin,glyburide
29,glimepiride,change
30,diag_1,diag_2
31,glimepiride,diabetesmed
32,change,time_in_hospital
33,number_outpatient,number_inpatient
34,number_diagnoses,readmitted
35,a1cresult,change
36,number_emergency,readmitted
37,number_inpatient,number_diagnoses
38,age,time_in_hospital
39,metformin,rosiglitazone
40,number_outpatient,number_diagnoses
41,number_outpatient,number_emergency
42,insulin,time_in_hospital
43,diag_2,diag_3
44,a1cresult,insulin
45,num_lab_procedures,insulin
46,diag_3,number_diagnoses
47,number_diagnoses,insulin
48,number_inpatient,time_in_hospital
49,diag_2,number_diagnoses
50,number_outpatient,readmitted
51,metformin,glipizide
52,a1cresult,diabetesmed
53,repaglinide,change
54,time_in_hospital,diabetesmed
55,age,glyburide
56,diag_1,diag_3
57,repaglinide,diabetesmed
58,diag_1,time_in_hospital
59,number_inpatient,num_medications
60,pioglitazone,num_medications
61,number_inpatient,insulin
62,gender,num_procedures
63,num_lab_procedures,num_procedures
64,a1cresult,time_in_hospital
65,number_diagnoses,num_procedures
66,num_lab_procedures,change
67,metformin,num_medications
68,metformin,pioglitazone
69,readmitted,diabetesmed
70,diag_3,time_in_hospital
71,nateglinide,change
72,number_emergency,number_diagnoses
73,number_diagnoses,change
74,readmitted,insulin
75,diag_1,metformin
76,glipizide,num_medications
77,a1cresult,metformin
78,age,repaglinide
79,age,glipizide
80,glipizide,pioglitazone
81,number_outpatient,max_glu_serum
82,acarbose,change
83,number_emergency,insulin
84,nateglinide,diabetesmed
85,diag_2,time_in_hospital
86,readmitted,num_medications
87,readmitted,time_in_hospital
88,glyburide_metformin,diabetesmed
89,glimepiride,pioglitazone
90,glipizide,rosiglitazone
91,number_emergency,change
92,race,insulin
93,metformin,glimepiride
94,glyburide_metformin,change
95,readmitted,change
96,glimepiride,rosiglitazone
97,num_lab_procedures,number_inpatient
98,number_diagnoses,repaglinide
99,num_lab_procedures,readmitted
100,race,a1cresult
101,number_outpatient,num_medications
102,rosiglitazone,num_medications
103,glyburide,rosiglitazone
104,glyburide,num_medications
105,age,glimepiride
106,number_emergency,max_glu_serum
107,num_lab_procedures,diag_3
108,diag_3,insulin
109,number_outpatient,change
110,glimepiride,num_medications
111,number_inpatient,diabetesmed
112,number_emergency,diag_3
113,number_inpatient,max_glu_serum
114,gender,glyburide
115,repaglinide,time_in_hospital
116,glyburide,time_in_hospital
117,number_emergency,diag_2
118,a1cresult,num_medications
119,glyburide_metformin,glipizide_metformin
120,nateglinide,num_medications
121,max_glu_serum,time_in_hospital
122,glipizide,acarbose
123,acarbose,diabetesmed
124,number_diagnoses,diabetesmed
125,gender,glipizide
126,glipizide,time_in_hospital
127,a1cresult,repaglinide
128,pioglitazone,glyburide_metformin
