,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,time_in_hospital,num_medications
3,insulin,change
4,num_procedures,num_medications
5,metformin,change
6,num_lab_procedures,time_in_hospital
7,num_lab_procedures,num_medications
8,metformin,diabetesmed
9,number_emergency,number_inpatient
10,num_lab_procedures,a1cresult
11,number_diagnoses,num_medications
12,change,num_medications
13,number_diagnoses,time_in_hospital
14,number_inpatient,readmitted
15,insulin,num_medications
16,glipizide,diabetesmed
17,age,number_diagnoses
18,pioglitazone,change
19,glipizide,change
20,rosiglitazone,change
21,diabetesmed,num_medications
22,time_in_hospital,num_procedures
23,glyburide,diabetesmed
24,glyburide,change
25,pioglitazone,diabetesmed
26,num_lab_procedures,number_diagnoses
27,rosiglitazone,diabetesmed
28,glimepiride,change
29,metformin,glyburide
30,diag_1,diag_2
31,glimepiride,diabetesmed
32,change,time_in_hospital
33,number_outpatient,number_inpatient
34,a1cresult,change
35,number_diagnoses,readmitted
36,number_emergency,readmitted
37,number_inpatient,number_diagnoses
38,a1cresult,insulin
39,age,time_in_hospital
40,metformin,rosiglitazone
41,insulin,time_in_hospital
42,number_outpatient,number_diagnoses
43,number_outpatient,number_emergency
44,diag_2,diag_3
45,num_lab_procedures,insulin
46,number_diagnoses,insulin
47,diag_3,number_diagnoses
48,a1cresult,diabetesmed
49,diag_2,number_diagnoses
50,number_outpatient,readmitted
51,metformin,glipizide
52,number_inpatient,time_in_hospital
53,repaglinide,change
54,pioglitazone,num_medications
55,age,glyburide
56,diag_1,diag_3
57,gender,num_procedures
58,diag_1,time_in_hospital
59,repaglinide,diabetesmed
60,time_in_hospital,diabetesmed
61,num_lab_procedures,change
62,a1cresult,time_in_hospital
63,metformin,num_medications
64,number_inpatient,insulin
65,number_inpatient,num_medications
66,readmitted,diabetesmed
67,metformin,pioglitazone
68,number_diagnoses,num_procedures
69,number_diagnoses,change
70,num_lab_procedures,num_procedures
71,nateglinide,change
72,number_emergency,insulin
73,number_emergency,number_diagnoses
74,diag_1,metformin
75,a1cresult,metformin
76,glipizide,num_medications
77,age,repaglinide
78,age,glipizide
79,glipizide,pioglitazone
80,number_outpatient,max_glu_serum
81,diag_3,time_in_hospital
82,readmitted,time_in_hospital
83,nateglinide,diabetesmed
84,readmitted,change
85,diag_2,time_in_hospital
86,glyburide_metformin,diabetesmed
87,acarbose,change
88,readmitted,num_medications
89,glimepiride,pioglitazone
90,rosiglitazone,num_medications
91,glipizide,rosiglitazone
92,glyburide_metformin,change
93,metformin,glimepiride
94,glimepiride,rosiglitazone
95,readmitted,insulin
96,num_lab_procedures,number_inpatient
97,number_emergency,change
98,number_diagnoses,repaglinide
99,num_lab_procedures,readmitted
100,race,a1cresult
101,glimepiride,num_medications
102,race,insulin
103,glyburide,rosiglitazone
104,number_outpatient,num_medications
105,age,glimepiride
106,repaglinide,time_in_hospital
107,number_emergency,max_glu_serum
108,num_lab_procedures,diag_3
109,num_lab_procedures,diabetesmed
110,number_emergency,diag_3
111,number_inpatient,max_glu_serum
112,gender,glyburide
113,number_emergency,diag_2
114,glyburide_metformin,glipizide_metformin
115,glipizide,acarbose
116,number_diagnoses,diabetesmed
117,diag_3,insulin
118,number_inpatient,diabetesmed
119,acarbose,diabetesmed
120,number_outpatient,change
121,gender,glipizide
122,a1cresult,repaglinide
123,pioglitazone,glyburide_metformin
124,glyburide,num_medications
125,number_emergency,diabetesmed
126,nateglinide,pioglitazone
127,number_inpatient,change
128,max_glu_serum,time_in_hospital
