,atr
0,glipizide_metformin
1,troglitazone
2,miglitol
3,chlorpropamide
4,tolazamide
5,number_emergency
6,acarbose
7,nateglinide
8,glyburide_metformin
9,repaglinide
10,number_outpatient
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,pioglitazone
15,number_inpatient
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_procedures
22,num_medications
23,diag_1
24,time_in_hospital
25,diag_2
26,change
27,gender
28,diag_3
29,readmitted
30,insulin
31,metformin_rosiglitazone
32,metformin_pioglitazone
33,glimepiride_pioglitazone
34,citoglipton
35,examide
36,acetohexamide
37,tolbutamide
38,number_diagnoses
39,age
40,num_lab_procedures
41,diabetesmed
