,atr
0,acetohexamide
1,troglitazone
2,glipizide_metformin
3,tolbutamide
4,miglitol
5,tolazamide
6,chlorpropamide
7,acarbose
8,number_emergency
9,glyburide_metformin
10,nateglinide
11,repaglinide
12,number_outpatient
13,max_glu_serum
14,glimepiride
15,rosiglitazone
16,number_inpatient
17,pioglitazone
18,race
19,glyburide
20,glipizide
21,a1cresult
22,metformin
23,num_procedures
24,num_medications
25,time_in_hospital
26,diag_1
27,diag_2
28,diag_3
29,insulin
30,readmitted
31,gender
32,change
33,metformin_pioglitazone
34,metformin_rosiglitazone
35,glimepiride_pioglitazone
36,citoglipton
37,examide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
