,atr
0,troglitazone
1,miglitol
2,tolbutamide
3,tolazamide
4,chlorpropamide
5,number_emergency
6,acarbose
7,glyburide_metformin
8,nateglinide
9,repaglinide
10,number_outpatient
11,max_glu_serum
12,glimepiride
13,number_inpatient
14,rosiglitazone
15,pioglitazone
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_medications
22,num_procedures
23,time_in_hospital
24,diag_1
25,diag_2
26,diag_3
27,insulin
28,gender
29,readmitted
30,change
31,glimepiride_pioglitazone
32,metformin_rosiglitazone
33,metformin_pioglitazone
34,glipizide_metformin
35,citoglipton
36,acetohexamide
37,examide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
