,atr
0,glimepiride_pioglitazone
1,glipizide_metformin
2,tolbutamide
3,tolazamide
4,miglitol
5,chlorpropamide
6,acarbose
7,glyburide_metformin
8,nateglinide
9,number_emergency
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,pioglitazone
16,number_inpatient
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,diag_1
25,time_in_hospital
26,diag_2
27,readmitted
28,gender
29,diag_3
30,change
31,insulin
32,citoglipton
33,examide
34,metformin_rosiglitazone
35,metformin_pioglitazone
36,troglitazone
37,acetohexamide
38,number_diagnoses
39,age
40,num_lab_procedures
41,diabetesmed
