,atr
0,troglitazone
1,miglitol
2,tolbutamide
3,tolazamide
4,chlorpropamide
5,number_emergency
6,acarbose
7,nateglinide
8,glyburide_metformin
9,number_outpatient
10,repaglinide
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,pioglitazone
15,number_inpatient
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_procedures
22,num_medications
23,diag_1
24,time_in_hospital
25,diag_2
26,diag_3
27,readmitted
28,change
29,gender
30,insulin
31,metformin_rosiglitazone
32,metformin_pioglitazone
33,glimepiride_pioglitazone
34,glipizide_metformin
35,citoglipton
36,acetohexamide
37,examide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
