,atr
0,glipizide_metformin
1,miglitol
2,tolbutamide
3,chlorpropamide
4,tolazamide
5,number_emergency
6,acarbose
7,glyburide_metformin
8,nateglinide
9,number_outpatient
10,repaglinide
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,number_inpatient
15,pioglitazone
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_medications
22,num_procedures
23,time_in_hospital
24,diag_1
25,diag_2
26,diag_3
27,insulin
28,gender
29,change
30,readmitted
31,citoglipton
32,metformin_pioglitazone
33,acetohexamide
34,metformin_rosiglitazone
35,glimepiride_pioglitazone
36,troglitazone
37,examide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
