,atr
0,glimepiride_pioglitazone
1,glipizide_metformin
2,tolbutamide
3,tolazamide
4,miglitol
5,chlorpropamide
6,acarbose
7,glyburide_metformin
8,nateglinide
9,number_emergency
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,pioglitazone
16,number_inpatient
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,diag_1
25,time_in_hospital
26,diag_2
27,diag_3
28,change
29,insulin
30,gender
31,readmitted
32,metformin_pioglitazone
33,metformin_rosiglitazone
34,citoglipton
35,examide
36,troglitazone
37,acetohexamide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
