,atr
0,metformin_pioglitazone
1,troglitazone
2,glipizide_metformin
3,tolazamide
4,tolbutamide
5,miglitol
6,chlorpropamide
7,number_emergency
8,acarbose
9,glyburide_metformin
10,nateglinide
11,repaglinide
12,number_outpatient
13,max_glu_serum
14,glimepiride
15,rosiglitazone
16,pioglitazone
17,number_inpatient
18,race
19,glyburide
20,glipizide
21,a1cresult
22,metformin
23,num_medications
24,num_procedures
25,time_in_hospital
26,diag_1
27,diag_2
28,diag_3
29,insulin
30,readmitted
31,change
32,gender
33,acetohexamide
34,examide
35,citoglipton
36,glimepiride_pioglitazone
37,metformin_rosiglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
