,atr
0,glimepiride_pioglitazone
1,glipizide_metformin
2,miglitol
3,tolbutamide
4,tolazamide
5,chlorpropamide
6,acarbose
7,number_emergency
8,nateglinide
9,glyburide_metformin
10,number_outpatient
11,repaglinide
12,max_glu_serum
13,glimepiride
14,number_inpatient
15,rosiglitazone
16,pioglitazone
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,time_in_hospital
25,diag_1
26,diag_2
27,diag_3
28,insulin
29,gender
30,change
31,readmitted
32,metformin_pioglitazone
33,metformin_rosiglitazone
34,acetohexamide
35,troglitazone
36,examide
37,citoglipton
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
