,atr
0,metformin_pioglitazone
1,glipizide_metformin
2,miglitol
3,tolazamide
4,tolbutamide
5,chlorpropamide
6,number_emergency
7,acarbose
8,glyburide_metformin
9,nateglinide
10,number_outpatient
11,repaglinide
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,pioglitazone
16,number_inpatient
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,time_in_hospital
25,diag_1
26,diag_2
27,change
28,diag_3
29,insulin
30,gender
31,readmitted
32,metformin_rosiglitazone
33,glimepiride_pioglitazone
34,citoglipton
35,examide
36,troglitazone
37,acetohexamide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
