,atr
0,metformin_pioglitazone
1,miglitol
2,troglitazone
3,tolbutamide
4,chlorpropamide
5,tolazamide
6,acarbose
7,nateglinide
8,glyburide_metformin
9,number_emergency
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,number_inpatient
16,pioglitazone
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_medications
23,num_procedures
24,time_in_hospital
25,diag_1
26,diag_2
27,diag_3
28,insulin
29,gender
30,change
31,readmitted
32,metformin_rosiglitazone
33,glimepiride_pioglitazone
34,acetohexamide
35,examide
36,citoglipton
37,glipizide_metformin
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
