,atr
0,troglitazone
1,glipizide_metformin
2,tolazamide
3,tolbutamide
4,miglitol
5,chlorpropamide
6,number_emergency
7,acarbose
8,nateglinide
9,glyburide_metformin
10,number_outpatient
11,repaglinide
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,number_inpatient
16,pioglitazone
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_medications
23,num_procedures
24,time_in_hospital
25,diag_1
26,diag_2
27,diag_3
28,insulin
29,gender
30,readmitted
31,change
32,acetohexamide
33,examide
34,citoglipton
35,glimepiride_pioglitazone
36,metformin_rosiglitazone
37,metformin_pioglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
