,atr
0,tolbutamide
1,glipizide_metformin
2,tolazamide
3,miglitol
4,chlorpropamide
5,acarbose
6,glyburide_metformin
7,nateglinide
8,number_emergency
9,repaglinide
10,number_outpatient
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,number_inpatient
15,pioglitazone
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_procedures
22,num_medications
23,diag_1
24,time_in_hospital
25,diag_2
26,change
27,diag_3
28,gender
29,insulin
30,readmitted
31,metformin_pioglitazone
32,metformin_rosiglitazone
33,glimepiride_pioglitazone
34,citoglipton
35,examide
36,troglitazone
37,acetohexamide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
