,atr
0,glimepiride_pioglitazone
1,acetohexamide
2,troglitazone
3,glipizide_metformin
4,tolbutamide
5,tolazamide
6,miglitol
7,chlorpropamide
8,number_emergency
9,acarbose
10,glyburide_metformin
11,nateglinide
12,number_outpatient
13,repaglinide
14,max_glu_serum
15,glimepiride
16,rosiglitazone
17,pioglitazone
18,number_inpatient
19,race
20,glyburide
21,glipizide
22,a1cresult
23,metformin
24,num_procedures
25,num_medications
26,time_in_hospital
27,diag_1
28,diag_2
29,diag_3
30,insulin
31,change
32,gender
33,readmitted
34,examide
35,citoglipton
36,metformin_rosiglitazone
37,metformin_pioglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
