,atr
0,glipizide_metformin
1,acetohexamide
2,miglitol
3,tolbutamide
4,tolazamide
5,number_emergency
6,chlorpropamide
7,acarbose
8,nateglinide
9,glyburide_metformin
10,number_outpatient
11,repaglinide
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,pioglitazone
16,number_inpatient
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,diag_1
25,time_in_hospital
26,diag_2
27,diag_3
28,gender
29,change
30,readmitted
31,insulin
32,glimepiride_pioglitazone
33,citoglipton
34,metformin_rosiglitazone
35,metformin_pioglitazone
36,examide
37,troglitazone
38,number_diagnoses
39,num_lab_procedures
40,age
41,diabetesmed
