,atr
0,glipizide_metformin
1,miglitol
2,acetohexamide
3,troglitazone
4,tolbutamide
5,tolazamide
6,chlorpropamide
7,acarbose
8,glyburide_metformin
9,nateglinide
10,number_emergency
11,number_outpatient
12,repaglinide
13,max_glu_serum
14,glimepiride
15,rosiglitazone
16,pioglitazone
17,number_inpatient
18,race
19,glyburide
20,glipizide
21,a1cresult
22,metformin
23,num_procedures
24,num_medications
25,diag_1
26,time_in_hospital
27,diag_2
28,diag_3
29,gender
30,change
31,readmitted
32,insulin
33,glimepiride_pioglitazone
34,metformin_rosiglitazone
35,metformin_pioglitazone
36,citoglipton
37,examide
38,num_lab_procedures
39,number_diagnoses
40,age
41,diabetesmed
