,atr
0,glipizide_metformin
1,miglitol
2,tolazamide
3,tolbutamide
4,chlorpropamide
5,number_emergency
6,acarbose
7,nateglinide
8,glyburide_metformin
9,number_outpatient
10,repaglinide
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,number_inpatient
15,pioglitazone
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_procedures
22,num_medications
23,time_in_hospital
24,diag_1
25,diag_2
26,diag_3
27,change
28,gender
29,readmitted
30,insulin
31,metformin_rosiglitazone
32,metformin_pioglitazone
33,glimepiride_pioglitazone
34,citoglipton
35,examide
36,acetohexamide
37,troglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
