,atr
0,metformin_pioglitazone
1,glimepiride_pioglitazone
2,acetohexamide
3,troglitazone
4,glipizide_metformin
5,tolazamide
6,tolbutamide
7,miglitol
8,chlorpropamide
9,acarbose
10,number_emergency
11,nateglinide
12,glyburide_metformin
13,number_outpatient
14,repaglinide
15,max_glu_serum
16,glimepiride
17,rosiglitazone
18,number_inpatient
19,pioglitazone
20,race
21,glyburide
22,glipizide
23,a1cresult
24,metformin
25,num_procedures
26,num_medications
27,time_in_hospital
28,diag_1
29,diag_2
30,diag_3
31,insulin
32,gender
33,change
34,readmitted
35,examide
36,metformin_rosiglitazone
37,citoglipton
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
