,atr
0,metformin_pioglitazone
1,miglitol
2,troglitazone
3,tolbutamide
4,chlorpropamide
5,tolazamide
6,acarbose
7,nateglinide
8,glyburide_metformin
9,number_emergency
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,pioglitazone
16,number_inpatient
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,diag_1
25,time_in_hospital
26,diag_2
27,gender
28,change
29,diag_3
30,readmitted
31,insulin
32,glipizide_metformin
33,citoglipton
34,glimepiride_pioglitazone
35,metformin_rosiglitazone
36,examide
37,acetohexamide
38,age
39,num_lab_procedures
40,number_diagnoses
41,diabetesmed
