,atr
0,glipizide_metformin
1,tolbutamide
2,tolazamide
3,miglitol
4,chlorpropamide
5,acarbose
6,nateglinide
7,glyburide_metformin
8,number_emergency
9,repaglinide
10,number_outpatient
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,pioglitazone
15,number_inpatient
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_procedures
22,num_medications
23,diag_1
24,time_in_hospital
25,diag_2
26,gender
27,change
28,diag_3
29,readmitted
30,insulin
31,glimepiride_pioglitazone
32,metformin_rosiglitazone
33,metformin_pioglitazone
34,citoglipton
35,examide
36,acetohexamide
37,troglitazone
38,number_diagnoses
39,age
40,num_lab_procedures
41,diabetesmed
