,atr
0,glipizide_metformin
1,tolbutamide
2,tolazamide
3,miglitol
4,chlorpropamide
5,acarbose
6,nateglinide
7,glyburide_metformin
8,number_emergency
9,repaglinide
10,number_outpatient
11,max_glu_serum
12,glimepiride
13,rosiglitazone
14,pioglitazone
15,number_inpatient
16,race
17,glyburide
18,glipizide
19,a1cresult
20,metformin
21,num_medications
22,num_procedures
23,time_in_hospital
24,diag_1
25,diag_2
26,diag_3
27,insulin
28,gender
29,readmitted
30,change
31,troglitazone
32,acetohexamide
33,examide
34,citoglipton
35,glimepiride_pioglitazone
36,metformin_rosiglitazone
37,metformin_pioglitazone
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
