,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,time_in_hospital,num_medications
3,insulin,change
4,num_procedures,num_medications
5,time_in_hospital,num_lab_procedures
6,metformin,change
7,number_emergency,number_inpatient
8,num_lab_procedures,num_medications
9,metformin,diabetesmed
10,num_lab_procedures,a1cresult
11,num_medications,change
12,num_medications,number_diagnoses
13,time_in_hospital,number_diagnoses
14,age,number_diagnoses
15,glipizide,diabetesmed
16,pioglitazone,change
17,number_inpatient,readmitted
18,glipizide,change
19,num_medications,insulin
20,rosiglitazone,change
21,time_in_hospital,num_procedures
22,num_medications,diabetesmed
23,glyburide,diabetesmed
24,glyburide,change
25,num_lab_procedures,number_diagnoses
26,pioglitazone,diabetesmed
27,rosiglitazone,diabetesmed
28,diag_1,diag_2
29,glimepiride,change
30,metformin,glyburide
31,a1cresult,change
32,glimepiride,diabetesmed
33,metformin,rosiglitazone
34,time_in_hospital,change
35,number_diagnoses,readmitted
36,time_in_hospital,insulin
37,diag_3,number_diagnoses
38,diag_2,diag_3
39,number_outpatient,number_diagnoses
40,number_emergency,readmitted
41,number_inpatient,number_diagnoses
42,number_diagnoses,insulin
43,number_outpatient,number_inpatient
44,num_lab_procedures,insulin
45,age,time_in_hospital
46,a1cresult,insulin
47,number_outpatient,number_emergency
48,time_in_hospital,number_inpatient
49,diag_1,diag_3
50,diag_2,number_diagnoses
51,repaglinide,change
52,metformin,glipizide
53,number_outpatient,readmitted
54,time_in_hospital,diag_1
55,num_medications,glipizide
56,age,glyburide
57,num_medications,pioglitazone
58,a1cresult,diabetesmed
59,time_in_hospital,a1cresult
60,time_in_hospital,readmitted
61,number_inpatient,insulin
62,repaglinide,diabetesmed
63,num_medications,metformin
64,num_lab_procedures,change
65,nateglinide,change
66,time_in_hospital,diabetesmed
67,metformin,pioglitazone
68,num_procedures,number_diagnoses
69,diabetesmed,readmitted
70,glipizide,rosiglitazone
71,a1cresult,metformin
72,num_medications,number_inpatient
73,repaglinide,miglitol
74,diag_1,metformin
75,number_diagnoses,change
76,acarbose,change
77,number_inpatient,max_glu_serum
78,age,repaglinide
79,age,glipizide
80,number_emergency,number_diagnoses
81,time_in_hospital,diag_2
82,change,readmitted
83,gender,num_procedures
84,number_outpatient,max_glu_serum
85,glyburide_metformin,diabetesmed
86,num_lab_procedures,number_inpatient
87,glipizide,pioglitazone
88,nateglinide,diabetesmed
89,glimepiride,pioglitazone
90,number_emergency,insulin
91,time_in_hospital,diag_3
92,insulin,readmitted
93,glyburide_metformin,change
94,num_medications,readmitted
95,num_medications,rosiglitazone
96,num_lab_procedures,readmitted
97,metformin,glimepiride
98,a1cresult,glimepiride
99,num_medications,number_outpatient
100,glyburide,rosiglitazone
101,num_medications,glimepiride
102,num_lab_procedures,num_procedures
103,time_in_hospital,repaglinide
104,glipizide,acarbose
105,race,insulin
106,number_diagnoses,diabetesmed
107,num_medications,glyburide
108,max_glu_serum,readmitted
109,time_in_hospital,max_glu_serum
110,age,glimepiride
111,number_emergency,max_glu_serum
112,nateglinide,pioglitazone
113,race,a1cresult
114,diag_3,insulin
115,num_lab_procedures,diabetesmed
116,gender,glipizide
117,num_medications,nateglinide
118,number_outpatient,glipizide
119,num_lab_procedures,diag_3
120,number_diagnoses,repaglinide
121,acarbose,diabetesmed
122,number_inpatient,change
123,glyburide,pioglitazone
124,glimepiride,miglitol
125,age,nateglinide
126,number_inpatient,diabetesmed
127,glipizide,readmitted
128,number_emergency,change
129,metformin,acarbose
