,level_0,level_1
0,number_emergency,number_inpatient
1,num_lab_procedures,a1cresult
2,number_inpatient,readmitted
3,age,number_diagnoses
4,diabetesmed,insulin
5,num_lab_procedures,time_in_hospital
6,time_in_hospital,num_medications
7,metformin,change
8,num_lab_procedures,num_medications
9,metformin,diabetesmed
10,diabetesmed,change
11,insulin,change
12,number_diagnoses,num_medications
13,num_lab_procedures,number_diagnoses
14,num_procedures,num_medications
15,number_diagnoses,time_in_hospital
16,diag_1,diag_2
17,metformin,glyburide
18,glipizide,diabetesmed
19,number_outpatient,number_inpatient
20,number_emergency,readmitted
21,glyburide,diabetesmed
22,glipizide,change
23,metformin,rosiglitazone
24,number_diagnoses,readmitted
25,rosiglitazone,change
26,pioglitazone,change
27,number_inpatient,number_diagnoses
28,number_outpatient,number_emergency
29,glyburide,change
30,diag_3,number_diagnoses
31,pioglitazone,diabetesmed
32,number_outpatient,number_diagnoses
33,rosiglitazone,diabetesmed
34,num_medications,insulin
35,diag_2,diag_3
36,num_medications,change
37,metformin,glipizide
38,diag_2,number_diagnoses
39,glimepiride,change
40,number_outpatient,readmitted
41,time_in_hospital,num_procedures
42,glimepiride,diabetesmed
43,diabetesmed,num_medications
44,age,glyburide
45,diag_1,diag_3
46,age,time_in_hospital
47,a1cresult,insulin
48,number_diagnoses,insulin
49,a1cresult,change
50,glipizide,rosiglitazone
51,num_lab_procedures,insulin
52,number_outpatient,max_glu_serum
53,diag_1,metformin
54,age,repaglinide
55,a1cresult,metformin
56,age,glipizide
57,glipizide,pioglitazone
58,metformin,pioglitazone
59,a1cresult,diabetesmed
60,glipizide,num_medications
61,pioglitazone,num_medications
62,num_lab_procedures,num_procedures
63,gender,glipizide
64,number_diagnoses,repaglinide
65,glimepiride,rosiglitazone
66,metformin,num_medications
67,number_emergency,number_diagnoses
68,repaglinide,diabetesmed
69,number_inpatient,time_in_hospital
70,metformin,glimepiride
71,number_diagnoses,num_procedures
72,age,glimepiride
73,number_inpatient,num_medications
74,number_inpatient,insulin
75,gender,num_procedures
76,race,a1cresult
77,num_lab_procedures,number_inpatient
78,num_lab_procedures,change
79,glimepiride,pioglitazone
80,glyburide,rosiglitazone
81,readmitted,diabetesmed
82,a1cresult,time_in_hospital
83,diag_1,glyburide_metformin
84,time_in_hospital,insulin
85,a1cresult,repaglinide
86,num_lab_procedures,diag_3
87,repaglinide,change
88,num_lab_procedures,readmitted
89,diag_2,time_in_hospital
90,diag_1,time_in_hospital
91,number_inpatient,max_glu_serum
92,rosiglitazone,num_medications
93,repaglinide,pioglitazone
94,diag_3,insulin
95,nateglinide,change
96,time_in_hospital,change
97,readmitted,num_medications
98,diag_3,a1cresult
99,number_diagnoses,change
100,acarbose,change
101,number_emergency,insulin
102,gender,a1cresult
103,nateglinide,rosiglitazone
104,glimepiride,num_medications
105,nateglinide,diabetesmed
106,glipizide,readmitted
107,number_emergency,diag_2
108,number_outpatient,num_medications
109,number_inpatient,diag_3
110,glyburide_metformin,diabetesmed
111,repaglinide,time_in_hospital
112,max_glu_serum,acarbose
113,glyburide_metformin,change
114,number_emergency,max_glu_serum
115,race,number_emergency
116,gender,glyburide
117,number_outpatient,acarbose
118,max_glu_serum,time_in_hospital
119,repaglinide,readmitted
120,number_outpatient,diag_2
121,glipizide,acarbose
122,readmitted,time_in_hospital
123,number_emergency,diag_3
124,glyburide,acarbose
125,age,readmitted
126,glyburide,num_medications
127,diag_3,time_in_hospital
128,readmitted,change
129,glyburide,time_in_hospital
130,number_inpatient,repaglinide
131,repaglinide,acarbose
132,number_outpatient,change
133,a1cresult,tolbutamide
134,age,number_outpatient
135,metformin,tolazamide
136,repaglinide,num_medications
137,number_emergency,change
138,a1cresult,chlorpropamide
139,gender,change
140,a1cresult,glimepiride
141,max_glu_serum,readmitted
142,pioglitazone,readmitted
143,num_lab_procedures,diabetesmed
144,race,insulin
145,acarbose,glyburide_metformin
146,max_glu_serum,insulin
147,glyburide,pioglitazone
148,num_lab_procedures,repaglinide
149,rosiglitazone,glyburide_metformin
150,pioglitazone,glyburide_metformin
151,time_in_hospital,diabetesmed
152,number_diagnoses,nateglinide
153,acarbose,diabetesmed
154,nateglinide,num_medications
155,number_diagnoses,diabetesmed
156,number_emergency,diabetesmed
157,diag_3,metformin
158,number_inpatient,diag_2
159,diag_3,change
160,diag_2,max_glu_serum
161,gender,diabetesmed
162,pioglitazone,num_procedures
163,age,acarbose
164,number_inpatient,diabetesmed
165,num_lab_procedures,diag_2
166,gender,glimepiride
167,age,chlorpropamide
168,race,nateglinide
169,a1cresult,glyburide
170,miglitol,readmitted
171,readmitted,insulin
172,glipizide,time_in_hospital
173,acarbose,num_medications
174,number_diagnoses,glimepiride
175,number_outpatient,diag_3
176,acarbose,readmitted
177,num_lab_procedures,number_emergency
178,number_outpatient,insulin
179,tolbutamide,num_medications
180,race,change
181,number_outpatient,diag_1
182,gender,rosiglitazone
183,age,tolbutamide
184,diag_2,glimepiride_pioglitazone
185,metformin,nateglinide
186,race,num_lab_procedures
187,number_emergency,repaglinide
188,a1cresult,num_medications
189,age,tolazamide
190,diag_2,metformin
191,metformin,acarbose
192,diag_2,insulin
193,glimepiride,time_in_hospital
194,troglitazone,change
195,rosiglitazone,acarbose
196,tolbutamide,num_procedures
197,diag_1,pioglitazone
198,race,diag_3
199,age,miglitol
200,diag_3,chlorpropamide
201,number_emergency,diag_1
202,number_outpatient,glyburide
203,number_inpatient,glyburide_metformin
204,chlorpropamide,insulin
205,gender,pioglitazone
206,repaglinide,nateglinide
207,repaglinide,glyburide_metformin
208,race,rosiglitazone
209,a1cresult,num_procedures
210,age,glipizide_metformin
211,max_glu_serum,nateglinide
212,chlorpropamide,glipizide
213,glipizide_metformin,time_in_hospital
214,metformin,glyburide_metformin
215,race,metformin
216,race,glipizide
217,tolazamide,insulin
218,number_diagnoses,a1cresult
219,metformin,chlorpropamide
220,number_emergency,metformin
221,diag_2,glimepiride
222,age,rosiglitazone
223,num_lab_procedures,rosiglitazone
224,diag_3,glimepiride
225,number_outpatient,time_in_hospital
226,race,repaglinide
227,diag_2,tolbutamide
228,number_diagnoses,glipizide_metformin
229,diag_1,glimepiride
230,gender,number_outpatient
231,gender,num_medications
232,diag_2,repaglinide
233,number_inpatient,nateglinide
234,diag_3,tolazamide
235,max_glu_serum,glyburide_metformin
236,diag_3,glipizide_metformin
237,nateglinide,glipizide
238,diag_1,diabetesmed
239,race,glimepiride
240,glyburide,glyburide_metformin
241,number_diagnoses,rosiglitazone
242,diag_1,max_glu_serum
243,num_lab_procedures,glyburide_metformin
244,nateglinide,glyburide
245,diag_2,tolazamide
246,diag_2,nateglinide
247,age,diag_1
248,gender,diag_2
249,max_glu_serum,repaglinide
250,number_outpatient,glyburide_metformin
251,number_diagnoses,chlorpropamide
252,number_diagnoses,tolazamide
253,number_inpatient,glimepiride
254,race,pioglitazone
255,diag_3,pioglitazone
256,metformin,insulin
257,race,diag_1
258,gender,number_emergency
259,number_inpatient,rosiglitazone
260,max_glu_serum,pioglitazone
261,number_emergency,num_procedures
262,gender,time_in_hospital
263,max_glu_serum,glimepiride
264,age,diabetesmed
265,race,max_glu_serum
266,diag_2,readmitted
267,number_outpatient,num_procedures
268,number_outpatient,metformin
269,diag_3,num_medications
270,metformin,num_procedures
271,race,readmitted
272,max_glu_serum,metformin
273,number_inpatient,glipizide
274,number_diagnoses,glyburide
275,metformin,readmitted
276,repaglinide,glyburide
277,gender,readmitted
278,number_inpatient,pioglitazone
279,age,num_procedures
280,number_outpatient,a1cresult
281,diag_2,glyburide
282,diag_3,glipizide
283,race,glyburide
284,glipizide,glyburide_metformin
285,readmitted,num_procedures
286,age,change
287,diag_1,insulin
288,repaglinide,glipizide
289,number_inpatient,glyburide
290,diag_3,glyburide
291,diag_1,num_medications
292,race,gender
293,number_emergency,glyburide
294,num_lab_procedures,metformin
295,diag_1,readmitted
296,race,number_outpatient
297,diag_2,num_medications
298,race,num_medications
299,diag_3,num_procedures
300,max_glu_serum,num_procedures
301,number_inpatient,num_procedures
302,age,number_inpatient
303,max_glu_serum,a1cresult
304,gender,age
305,number_diagnoses,max_glu_serum
306,glyburide,insulin
307,age,insulin
308,diag_2,num_procedures
309,diag_1,num_procedures
310,gender,diag_1
311,age,metformin
312,number_inpatient,a1cresult
313,number_diagnoses,metformin
314,age,diag_2
315,diag_1,a1cresult
316,pioglitazone,rosiglitazone
317,glimepiride,glipizide
318,num_lab_procedures,diag_1
319,glimepiride,glyburide
320,number_inpatient,metformin
