,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,time_in_hospital,num_medications
3,insulin,change
4,num_procedures,num_medications
5,metformin,change
6,time_in_hospital,num_lab_procedures
7,num_lab_procedures,num_medications
8,metformin,diabetesmed
9,number_emergency,number_inpatient
10,num_lab_procedures,a1cresult
11,num_medications,change
12,num_medications,number_diagnoses
13,number_inpatient,readmitted
14,time_in_hospital,number_diagnoses
15,glipizide,diabetesmed
16,age,number_diagnoses
17,glipizide,change
18,num_medications,insulin
19,pioglitazone,change
20,rosiglitazone,change
21,time_in_hospital,num_procedures
22,num_medications,diabetesmed
23,glyburide,diabetesmed
24,glyburide,change
25,pioglitazone,diabetesmed
26,num_lab_procedures,number_diagnoses
27,rosiglitazone,diabetesmed
28,metformin,glyburide
29,glimepiride,change
30,diag_1,diag_2
31,glimepiride,diabetesmed
32,time_in_hospital,change
33,number_outpatient,number_inpatient
34,number_diagnoses,readmitted
35,a1cresult,change
36,time_in_hospital,insulin
37,number_inpatient,number_diagnoses
38,metformin,rosiglitazone
39,age,time_in_hospital
40,number_emergency,readmitted
41,a1cresult,insulin
42,number_outpatient,number_diagnoses
43,num_lab_procedures,insulin
44,number_diagnoses,insulin
45,diag_2,diag_3
46,number_outpatient,number_emergency
47,diag_3,number_diagnoses
48,diag_2,number_diagnoses
49,a1cresult,diabetesmed
50,number_outpatient,readmitted
51,metformin,glipizide
52,repaglinide,change
53,age,glyburide
54,time_in_hospital,number_inpatient
55,diag_1,diag_3
56,num_medications,metformin
57,repaglinide,diabetesmed
58,num_medications,pioglitazone
59,time_in_hospital,diabetesmed
60,time_in_hospital,diag_1
61,num_medications,number_inpatient
62,num_lab_procedures,change
63,num_procedures,number_diagnoses
64,number_inpatient,insulin
65,time_in_hospital,a1cresult
66,diabetesmed,readmitted
67,gender,num_procedures
68,glyburide_metformin,glipizide_metformin
69,num_lab_procedures,num_procedures
70,nateglinide,change
71,metformin,pioglitazone
72,time_in_hospital,readmitted
73,num_medications,glipizide
74,number_diagnoses,change
75,a1cresult,metformin
76,time_in_hospital,diag_2
77,number_emergency,number_diagnoses
78,num_medications,rosiglitazone
79,diag_1,metformin
80,glipizide,pioglitazone
81,num_medications,readmitted
82,age,repaglinide
83,glipizide,rosiglitazone
84,number_emergency,insulin
85,acarbose,change
86,age,glipizide
87,nateglinide,diabetesmed
88,glyburide_metformin,diabetesmed
89,num_medications,number_outpatient
90,number_outpatient,max_glu_serum
91,glimepiride,pioglitazone
92,time_in_hospital,diag_3
93,change,readmitted
94,num_lab_procedures,readmitted
95,num_lab_procedures,number_inpatient
96,metformin,glimepiride
97,insulin,readmitted
98,glimepiride,rosiglitazone
99,glyburide_metformin,change
100,num_medications,glyburide
101,number_diagnoses,repaglinide
102,race,a1cresult
103,time_in_hospital,repaglinide
104,num_medications,glimepiride
105,age,glimepiride
106,number_emergency,change
107,race,insulin
108,diag_3,insulin
109,num_lab_procedures,diabetesmed
110,time_in_hospital,glyburide
111,glyburide,rosiglitazone
112,num_lab_procedures,diag_3
113,number_emergency,diag_2
114,acarbose,diabetesmed
115,time_in_hospital,max_glu_serum
116,glipizide,acarbose
117,nateglinide,pioglitazone
118,pioglitazone,glyburide_metformin
119,number_emergency,diag_3
120,number_emergency,max_glu_serum
121,gender,glyburide
122,number_inpatient,max_glu_serum
123,number_inpatient,diabetesmed
124,gender,glipizide
125,num_medications,repaglinide
126,number_emergency,diabetesmed
127,a1cresult,glimepiride
