,level_0,level_1
0,diabetesmed,insulin
1,time_in_hospital,num_medications
2,diabetesmed,change
3,insulin,change
4,num_procedures,num_medications
5,time_in_hospital,num_lab_procedures
6,age,number_diagnoses
7,diag_1,diag_2
8,number_emergency,number_inpatient
9,metformin,change
10,num_medications,num_lab_procedures
11,a1cresult,num_lab_procedures
12,pioglitazone,change
13,glyburide,diabetesmed
14,number_diagnoses,num_medications
15,rosiglitazone,change
16,metformin,diabetesmed
17,glyburide,change
18,num_medications,change
19,time_in_hospital,number_diagnoses
20,pioglitazone,diabetesmed
21,num_medications,insulin
22,time_in_hospital,num_procedures
23,rosiglitazone,diabetesmed
24,diabetesmed,glipizide
25,glyburide,metformin
26,num_medications,diabetesmed
27,diag_2,diag_3
28,glimepiride,change
29,glimepiride,diabetesmed
30,glipizide,change
31,number_inpatient,readmitted
32,number_diagnoses,num_lab_procedures
33,number_outpatient,number_inpatient
34,number_outpatient,number_emergency
35,age,glyburide
36,number_outpatient,number_diagnoses
37,diag_1,diag_3
38,rosiglitazone,metformin
39,diag_2,number_diagnoses
40,number_outpatient,max_glu_serum
41,age,time_in_hospital
42,diag_3,number_diagnoses
43,age,repaglinide
44,diag_1,time_in_hospital
45,number_outpatient,readmitted
46,number_diagnoses,number_inpatient
47,a1cresult,insulin
48,number_diagnoses,insulin
49,time_in_hospital,insulin
50,number_emergency,readmitted
51,repaglinide,diabetesmed
52,time_in_hospital,change
53,diag_2,time_in_hospital
54,pioglitazone,num_medications
55,repaglinide,change
56,glimepiride,pioglitazone
57,gender,num_procedures
58,glyburide,pioglitazone
59,insulin,num_lab_procedures
60,pioglitazone,glipizide
61,pioglitazone,metformin
62,number_outpatient,num_medications
63,number_diagnoses,readmitted
64,pioglitazone,glyburide_metformin
65,metformin,glipizide
66,diag_1,metformin
67,a1cresult,change
68,max_glu_serum,number_inpatient
69,glimepiride,metformin
70,age,glipizide
71,num_medications,number_inpatient
72,time_in_hospital,number_inpatient
73,a1cresult,diabetesmed
74,rosiglitazone,num_medications
75,time_in_hospital,a1cresult
76,diag_3,time_in_hospital
77,glimepiride,rosiglitazone
78,num_medications,glipizide
79,gender,glyburide
80,number_diagnoses,num_procedures
81,age,glimepiride
82,nateglinide,diabetesmed
83,race,insulin
84,diag_2,number_emergency
85,time_in_hospital,diabetesmed
86,glyburide_metformin,diabetesmed
87,rosiglitazone,glipizide
88,diag_3,num_lab_procedures
89,num_procedures,num_lab_procedures
90,change,num_lab_procedures
91,diag_3,number_emergency
92,repaglinide,number_diagnoses
93,max_glu_serum,number_emergency
94,glyburide_metformin,change
95,repaglinide,num_medications
96,age,max_glu_serum
97,glimepiride,num_medications
98,metformin,num_medications
99,nateglinide,change
100,nateglinide,pioglitazone
101,number_inpatient,insulin
102,glyburide,num_medications
103,repaglinide,time_in_hospital
104,time_in_hospital,readmitted
105,number_emergency,insulin
106,gender,rosiglitazone
107,race,a1cresult
108,number_diagnoses,number_emergency
109,a1cresult,metformin
110,glyburide,rosiglitazone
111,acarbose,change
112,repaglinide,a1cresult
113,acarbose,glipizide
114,number_diagnoses,change
115,diabetesmed,readmitted
116,diag_1,pioglitazone
117,diag_3,insulin
118,acarbose,diabetesmed
119,rosiglitazone,acarbose
120,race,number_emergency
121,repaglinide,rosiglitazone
122,age,tolbutamide
123,age,nateglinide
124,number_outpatient,diag_2
125,number_inpatient,num_lab_procedures
126,readmitted,num_lab_procedures
127,max_glu_serum,time_in_hospital
128,acarbose,glyburide_metformin
129,number_emergency,change
130,diag_3,a1cresult
131,nateglinide,num_medications
132,acarbose,metformin
133,gender,glipizide
134,num_medications,readmitted
135,number_outpatient,acarbose
136,glimepiride,miglitol
137,rosiglitazone,troglitazone
138,diag_2,insulin
139,age,tolazamide
140,insulin,readmitted
141,glimepiride,time_in_hospital
142,nateglinide,number_diagnoses
143,number_diagnoses,diabetesmed
144,pioglitazone,glipizide_metformin
145,gender,a1cresult
146,diag_1,glyburide_metformin
147,glimepiride,a1cresult
148,troglitazone,change
149,number_outpatient,change
150,glimepiride,troglitazone
151,number_outpatient,diag_1
152,nateglinide,metformin
153,repaglinide,num_lab_procedures
154,repaglinide,readmitted
155,number_emergency,diabetesmed
156,acarbose,num_medications
157,diabetesmed,num_lab_procedures
158,nateglinide,glimepiride
159,change,readmitted
160,rosiglitazone,num_procedures
161,age,number_outpatient
162,gender,tolazamide
163,diag_3,number_inpatient
164,diag_2,metformin
165,rosiglitazone,a1cresult
166,age,readmitted
167,number_outpatient,diabetesmed
168,glimepiride,number_emergency
169,age,num_medications
170,a1cresult,glipizide
171,gender,acarbose
172,age,num_lab_procedures
173,glimepiride,number_diagnoses
174,diag_1,nateglinide
175,a1cresult,num_medications
176,chlorpropamide,diabetesmed
177,glyburide,time_in_hospital
178,acetohexamide,num_procedures
179,number_outpatient,diag_3
180,glyburide_metformin,insulin
181,diag_3,change
182,glimepiride,acarbose
183,insulin,glipizide
184,metformin,insulin
185,nateglinide,glipizide
186,diag_3,nateglinide
187,diag_3,glimepiride
188,diag_2,glimepiride
189,race,pioglitazone
190,age,diabetesmed
191,number_outpatient,num_procedures
192,diag_3,glyburide_metformin
193,max_glu_serum,rosiglitazone
194,diag_1,diabetesmed
195,number_outpatient,glimepiride
196,glimepiride,number_inpatient
197,gender,number_inpatient
198,number_inpatient,glipizide
199,max_glu_serum,glyburide_metformin
200,repaglinide,glipizide
201,metformin,num_procedures
202,race,glimepiride
203,repaglinide,glimepiride
204,glyburide_metformin,metformin
205,diag_1,glyburide
206,metformin,readmitted
207,race,readmitted
208,race,num_procedures
209,gender,diag_2
210,diag_1,max_glu_serum
211,rosiglitazone,number_inpatient
212,diag_3,chlorpropamide
213,diag_1,glimepiride
214,max_glu_serum,metformin
215,gender,num_medications
216,gender,diag_3
217,gender,number_outpatient
218,glyburide,number_emergency
219,glyburide_metformin,glipizide
220,gender,number_emergency
221,age,diag_1
222,gender,readmitted
223,max_glu_serum,nateglinide
224,pioglitazone,number_inpatient
225,metformin,num_lab_procedures
226,num_procedures,readmitted
227,race,repaglinide
228,number_outpatient,a1cresult
229,nateglinide,glyburide
230,gender,time_in_hospital
231,diag_1,readmitted
232,race,glyburide
233,number_emergency,num_procedures
234,diag_2,glyburide
235,max_glu_serum,glimepiride
236,repaglinide,glyburide
237,glyburide,number_diagnoses
238,glyburide,number_inpatient
239,age,num_procedures
240,race,diag_1
241,age,change
242,diag_3,num_medications
243,a1cresult,number_inpatient
244,race,max_glu_serum
245,num_procedures,number_inpatient
246,diag_1,insulin
247,age,number_inpatient
248,diag_3,glyburide
249,metformin,number_inpatient
250,max_glu_serum,a1cresult
251,diag_1,num_medications
252,race,num_medications
253,max_glu_serum,number_diagnoses
254,number_diagnoses,metformin
255,diag_2,num_medications
256,race,gender
257,race,number_outpatient
258,diag_3,num_procedures
259,diag_1,a1cresult
260,age,metformin
261,glyburide,insulin
262,glimepiride,glipizide
263,gender,age
264,diag_1,num_lab_procedures
265,max_glu_serum,num_procedures
266,age,insulin
267,race,number_diagnoses
268,diag_2,num_procedures
269,gender,diag_1
270,pioglitazone,rosiglitazone
271,diag_1,num_procedures
272,glimepiride,glyburide
273,age,diag_2
274,glyburide,glipizide
275,age,number_emergency
276,age,a1cresult
277,age,diag_3
278,max_glu_serum,num_lab_procedures
279,race,age
