,level_0,level_1
0,insulin,diabetesmed
1,time_in_hospital,num_medications
2,change,diabetesmed
3,insulin,change
4,num_procedures,num_medications
5,time_in_hospital,num_lab_procedures
6,num_lab_procedures,num_medications
7,metformin,change
8,num_lab_procedures,a1cresult
9,num_medications,number_diagnoses
10,number_emergency,number_inpatient
11,metformin,diabetesmed
12,time_in_hospital,number_diagnoses
13,num_medications,insulin
14,age,number_diagnoses
15,num_medications,change
16,time_in_hospital,num_procedures
17,glipizide,diabetesmed
18,num_medications,diabetesmed
19,pioglitazone,change
20,glyburide,diabetesmed
21,glipizide,change
22,number_inpatient,readmitted
23,rosiglitazone,change
24,glyburide,change
25,num_lab_procedures,number_diagnoses
26,pioglitazone,diabetesmed
27,metformin,glyburide
28,rosiglitazone,diabetesmed
29,glimepiride,change
30,glimepiride,diabetesmed
31,diag_1,diag_2
32,time_in_hospital,insulin
33,age,time_in_hospital
34,number_outpatient,number_emergency
35,number_outpatient,number_inpatient
36,number_inpatient,number_diagnoses
37,a1cresult,insulin
38,num_lab_procedures,insulin
39,number_outpatient,number_diagnoses
40,number_diagnoses,readmitted
41,metformin,rosiglitazone
42,number_emergency,readmitted
43,time_in_hospital,change
44,number_diagnoses,insulin
45,a1cresult,change
46,diag_3,number_diagnoses
47,diag_2,number_diagnoses
48,time_in_hospital,number_inpatient
49,num_medications,pioglitazone
50,a1cresult,diabetesmed
51,metformin,glipizide
52,diag_2,diag_3
53,time_in_hospital,diag_1
54,age,glyburide
55,repaglinide,diabetesmed
56,num_procedures,number_diagnoses
57,repaglinide,change
58,number_outpatient,readmitted
59,number_inpatient,insulin
60,num_medications,metformin
61,num_medications,number_inpatient
62,time_in_hospital,diabetesmed
63,num_medications,rosiglitazone
64,num_medications,glipizide
65,diag_1,diag_3
66,time_in_hospital,diag_2
67,glipizide,pioglitazone
68,number_outpatient,max_glu_serum
69,time_in_hospital,a1cresult
70,metformin,pioglitazone
71,number_emergency,insulin
72,gender,num_procedures
73,num_lab_procedures,change
74,diabetesmed,readmitted
75,number_diagnoses,change
76,number_emergency,number_diagnoses
77,a1cresult,metformin
78,time_in_hospital,diag_3
79,nateglinide,change
80,nateglinide,diabetesmed
81,acarbose,change
82,age,repaglinide
83,num_lab_procedures,num_procedures
84,diag_1,metformin
85,glyburide_metformin,diabetesmed
86,num_medications,readmitted
87,age,glipizide
88,glimepiride,pioglitazone
89,num_medications,number_outpatient
90,time_in_hospital,repaglinide
91,race,a1cresult
92,glyburide,rosiglitazone
93,number_diagnoses,repaglinide
94,num_lab_procedures,readmitted
95,num_medications,glyburide
96,diag_3,insulin
97,number_emergency,change
98,num_medications,glimepiride
99,acarbose,miglitol
100,insulin,readmitted
101,time_in_hospital,readmitted
102,a1cresult,repaglinide
103,number_emergency,max_glu_serum
104,pioglitazone,metformin_pioglitazone
105,age,num_medications
106,age,glimepiride
107,gender,glipizide
108,metformin,glimepiride
109,num_lab_procedures,diabetesmed
110,gender,glyburide
111,glipizide,rosiglitazone
112,num_lab_procedures,number_inpatient
113,number_emergency,glyburide_metformin
114,glyburide_metformin,change
115,acarbose,diabetesmed
116,glimepiride,rosiglitazone
117,num_lab_procedures,diag_3
118,race,insulin
119,glimepiride,acarbose
120,num_procedures,insulin
121,change,readmitted
122,nateglinide,pioglitazone
123,age,max_glu_serum
124,number_outpatient,diabetesmed
125,number_diagnoses,diabetesmed
126,glyburide,acarbose
127,acarbose,glyburide_metformin
128,number_emergency,diag_3
129,pioglitazone,glyburide_metformin
130,age,num_lab_procedures
131,num_medications,nateglinide
132,pioglitazone,acarbose
133,time_in_hospital,max_glu_serum
134,num_medications,a1cresult
135,num_lab_procedures,diag_2
136,number_emergency,diag_2
137,num_medications,acarbose
138,num_procedures,rosiglitazone
139,age,nateglinide
140,number_emergency,diabetesmed
141,num_medications,repaglinide
142,number_inpatient,max_glu_serum
143,repaglinide,readmitted
144,repaglinide,acarbose
145,max_glu_serum,tolbutamide
146,a1cresult,glyburide
147,glimepiride,troglitazone
148,num_procedures,chlorpropamide
149,time_in_hospital,glyburide
150,number_inpatient,diag_2
151,repaglinide,glyburide
152,max_glu_serum,metformin
153,metformin,glyburide_metformin
154,nateglinide,glyburide
155,number_outpatient,a1cresult
156,diag_1,glyburide
157,race,max_glu_serum
158,diag_2,glipizide
159,race,diag_1
160,number_inpatient,glipizide
161,number_diagnoses,tolazamide
162,max_glu_serum,glimepiride
163,repaglinide,glipizide
164,race,readmitted
165,number_inpatient,glimepiride
166,number_emergency,glyburide
167,glipizide,glyburide_metformin
168,num_procedures,readmitted
169,num_medications,diag_3
170,diag_1,readmitted
171,number_inpatient,rosiglitazone
172,glipizide,insulin
173,race,number_outpatient
174,metformin,readmitted
175,diag_3,glyburide
176,number_diagnoses,glyburide
177,num_lab_procedures,metformin
178,diag_2,glyburide
179,age,num_procedures
180,gender,diag_1
181,num_procedures,number_emergency
182,number_diagnoses,max_glu_serum
183,number_inpatient,glyburide
184,age,number_inpatient
185,age,change
186,num_procedures,metformin
187,diag_1,insulin
188,race,num_medications
189,num_medications,diag_2
190,num_procedures,diag_3
191,gender,age
192,num_medications,diag_1
193,max_glu_serum,a1cresult
194,number_inpatient,a1cresult
195,pioglitazone,rosiglitazone
196,num_procedures,number_inpatient
197,age,metformin
198,number_diagnoses,metformin
199,glimepiride,glyburide
200,glimepiride,glipizide
201,glyburide,insulin
202,num_procedures,max_glu_serum
203,number_inpatient,metformin
204,diag_1,a1cresult
205,age,diag_2
206,race,number_diagnoses
207,age,insulin
208,num_lab_procedures,diag_1
209,age,diag_3
210,num_procedures,diag_2
211,age,number_emergency
212,num_procedures,diag_1
213,glipizide,glyburide
214,age,a1cresult
215,num_lab_procedures,max_glu_serum
216,race,age
