,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,time_in_hospital,num_medications
3,insulin,change
4,num_procedures,num_medications
5,metformin,change
6,time_in_hospital,num_lab_procedures
7,number_emergency,number_inpatient
8,num_lab_procedures,num_medications
9,metformin,diabetesmed
10,num_lab_procedures,a1cresult
11,num_medications,change
12,num_medications,number_diagnoses
13,number_inpatient,readmitted
14,age,number_diagnoses
15,pioglitazone,change
16,time_in_hospital,number_diagnoses
17,glipizide,diabetesmed
18,time_in_hospital,num_procedures
19,rosiglitazone,change
20,glipizide,change
21,num_medications,diabetesmed
22,num_medications,insulin
23,glyburide,diabetesmed
24,glyburide,change
25,pioglitazone,diabetesmed
26,num_lab_procedures,number_diagnoses
27,rosiglitazone,diabetesmed
28,glimepiride,change
29,diag_1,diag_2
30,metformin,glyburide
31,glimepiride,diabetesmed
32,time_in_hospital,change
33,number_outpatient,number_inpatient
34,number_diagnoses,readmitted
35,number_emergency,readmitted
36,number_inpatient,number_diagnoses
37,number_outpatient,number_emergency
38,age,time_in_hospital
39,a1cresult,insulin
40,time_in_hospital,insulin
41,metformin,rosiglitazone
42,a1cresult,change
43,number_outpatient,number_diagnoses
44,num_lab_procedures,insulin
45,diag_2,diag_3
46,a1cresult,diabetesmed
47,diag_2,number_diagnoses
48,number_diagnoses,insulin
49,age,glyburide
50,diag_3,number_diagnoses
51,metformin,glipizide
52,glyburide_metformin,glipizide_metformin
53,num_lab_procedures,change
54,repaglinide,change
55,number_outpatient,readmitted
56,num_medications,pioglitazone
57,time_in_hospital,number_inpatient
58,repaglinide,diabetesmed
59,number_emergency,number_diagnoses
60,num_medications,metformin
61,time_in_hospital,diabetesmed
62,metformin,pioglitazone
63,diag_1,diag_3
64,diabetesmed,readmitted
65,time_in_hospital,diag_1
66,num_medications,number_inpatient
67,diag_1,metformin
68,time_in_hospital,a1cresult
69,gender,num_procedures
70,glipizide,pioglitazone
71,num_lab_procedures,num_procedures
72,number_inpatient,insulin
73,num_procedures,number_diagnoses
74,num_medications,number_outpatient
75,a1cresult,metformin
76,nateglinide,change
77,glimepiride,rosiglitazone
78,change,readmitted
79,race,a1cresult
80,num_medications,glipizide
81,number_diagnoses,change
82,time_in_hospital,diag_3
83,number_emergency,insulin
84,num_medications,rosiglitazone
85,time_in_hospital,readmitted
86,num_medications,readmitted
87,nateglinide,diabetesmed
88,acarbose,change
89,glyburide_metformin,diabetesmed
90,time_in_hospital,diag_2
91,insulin,readmitted
92,age,glipizide
93,age,repaglinide
94,number_outpatient,max_glu_serum
95,metformin,glimepiride
96,number_emergency,change
97,glipizide,rosiglitazone
98,number_emergency,diag_3
99,diag_3,insulin
100,glyburide_metformin,change
101,num_medications,glyburide
102,num_medications,glimepiride
103,number_diagnoses,repaglinide
104,glimepiride,pioglitazone
105,number_emergency,max_glu_serum
106,time_in_hospital,repaglinide
107,glyburide,rosiglitazone
108,race,insulin
109,time_in_hospital,max_glu_serum
110,num_lab_procedures,diag_3
111,num_lab_procedures,number_inpatient
112,num_lab_procedures,readmitted
113,a1cresult,repaglinide
114,age,glimepiride
115,gender,glipizide
116,acarbose,diabetesmed
117,number_inpatient,max_glu_serum
118,number_emergency,diabetesmed
119,gender,glyburide
120,glimepiride,acarbose
121,glipizide,acarbose
122,number_outpatient,acarbose
123,glimepiride,miglitol
124,pioglitazone,glyburide_metformin
125,age,num_lab_procedures
126,age,num_medications
127,diag_3,a1cresult
128,age,readmitted
129,number_diagnoses,diabetesmed
