,level_0,level_1
0,insulin,diabetesmed
1,time_in_hospital,num_medications
2,change,diabetesmed
3,num_procedures,num_medications
4,insulin,change
5,time_in_hospital,num_lab_procedures
6,num_lab_procedures,num_medications
7,number_emergency,number_inpatient
8,num_lab_procedures,a1cresult
9,num_medications,number_diagnoses
10,metformin,change
11,metformin,diabetesmed
12,num_medications,insulin
13,age,number_diagnoses
14,num_medications,change
15,time_in_hospital,num_procedures
16,time_in_hospital,number_diagnoses
17,num_medications,diabetesmed
18,glipizide,diabetesmed
19,rosiglitazone,change
20,glyburide,diabetesmed
21,glyburide,change
22,number_inpatient,readmitted
23,pioglitazone,change
24,num_lab_procedures,number_diagnoses
25,pioglitazone,diabetesmed
26,metformin,glyburide
27,glipizide,change
28,rosiglitazone,diabetesmed
29,glimepiride,change
30,number_outpatient,number_emergency
31,diag_1,diag_2
32,glimepiride,diabetesmed
33,time_in_hospital,insulin
34,age,time_in_hospital
35,metformin,rosiglitazone
36,diag_2,diag_3
37,a1cresult,insulin
38,number_inpatient,number_diagnoses
39,repaglinide,change
40,number_outpatient,number_diagnoses
41,num_lab_procedures,insulin
42,time_in_hospital,change
43,metformin,glipizide
44,number_outpatient,number_inpatient
45,number_diagnoses,readmitted
46,number_diagnoses,insulin
47,num_medications,pioglitazone
48,a1cresult,diabetesmed
49,diag_2,number_diagnoses
50,number_emergency,readmitted
51,diag_3,number_diagnoses
52,age,glyburide
53,a1cresult,change
54,diag_1,diag_3
55,num_medications,glipizide
56,num_medications,metformin
57,diabetesmed,readmitted
58,repaglinide,diabetesmed
59,number_emergency,number_diagnoses
60,num_medications,number_outpatient
61,repaglinide,acarbose
62,time_in_hospital,number_inpatient
63,num_lab_procedures,num_procedures
64,pioglitazone,miglitol
65,time_in_hospital,a1cresult
66,num_medications,glimepiride
67,number_inpatient,insulin
68,time_in_hospital,diabetesmed
69,diag_3,insulin
70,number_emergency,insulin
71,change,readmitted
72,age,glimepiride
73,num_medications,rosiglitazone
74,num_procedures,number_diagnoses
75,num_medications,number_inpatient
76,number_emergency,max_glu_serum
77,age,glipizide
78,glimepiride,miglitol
79,time_in_hospital,diag_1
80,glyburide_metformin,diabetesmed
81,nateglinide,diabetesmed
82,number_outpatient,readmitted
83,number_diagnoses,repaglinide
84,gender,a1cresult
85,time_in_hospital,diag_3
86,num_lab_procedures,diag_3
87,acarbose,change
88,age,repaglinide
89,time_in_hospital,readmitted
90,gender,num_procedures
91,time_in_hospital,diag_2
92,num_medications,readmitted
93,glipizide,acarbose
94,num_procedures,rosiglitazone
95,number_outpatient,max_glu_serum
96,num_lab_procedures,change
97,num_lab_procedures,glipizide
98,number_emergency,diabetesmed
99,num_medications,glyburide
100,glimepiride,pioglitazone
101,number_outpatient,diabetesmed
102,number_emergency,change
103,number_diagnoses,change
104,glyburide_metformin,change
105,glyburide,rosiglitazone
106,age,miglitol
107,race,insulin
108,number_emergency,glyburide
109,number_inpatient,pioglitazone
110,race,gender
111,diag_1,readmitted
112,race,number_outpatient
113,age,number_inpatient
114,num_procedures,readmitted
115,number_inpatient,glyburide
116,number_diagnoses,glimepiride_pioglitazone
117,number_diagnoses,metformin_pioglitazone
118,num_medications,diag_1
119,max_glu_serum,a1cresult
120,num_medications,diag_3
121,num_procedures,number_emergency
122,number_inpatient,a1cresult
123,age,metformin
124,race,num_medications
125,number_diagnoses,max_glu_serum
126,num_procedures,diag_3
127,num_medications,diag_2
128,num_lab_procedures,diag_1
129,age,diag_2
130,pioglitazone,rosiglitazone
131,glyburide,insulin
132,gender,diag_1
133,diag_1,a1cresult
134,num_procedures,number_inpatient
135,glimepiride,glyburide
136,number_inpatient,metformin
137,num_procedures,max_glu_serum
138,number_diagnoses,metformin
139,glimepiride,glipizide
140,race,number_diagnoses
141,num_procedures,diag_2
142,age,insulin
143,glipizide,glyburide
144,num_procedures,diag_1
145,age,diag_3
146,age,number_emergency
147,age,a1cresult
148,race,age
149,num_lab_procedures,max_glu_serum
