,level_0,level_1
0,diabetesmed,insulin
1,time_in_hospital,num_medications
2,diabetesmed,change
3,insulin,change
4,number_emergency,number_inpatient
5,num_lab_procedures,time_in_hospital
6,num_procedures,num_medications
7,num_lab_procedures,a1cresult
8,metformin,change
9,num_lab_procedures,num_medications
10,number_inpatient,readmitted
11,metformin,diabetesmed
12,number_diagnoses,num_medications
13,age,number_diagnoses
14,number_diagnoses,time_in_hospital
15,glipizide,diabetesmed
16,num_medications,change
17,pioglitazone,change
18,num_lab_procedures,number_diagnoses
19,glipizide,change
20,glyburide,diabetesmed
21,rosiglitazone,change
22,num_medications,insulin
23,metformin,glyburide
24,time_in_hospital,num_procedures
25,glyburide,change
26,diag_1,diag_2
27,diabetesmed,num_medications
28,pioglitazone,diabetesmed
29,rosiglitazone,diabetesmed
30,number_diagnoses,readmitted
31,number_outpatient,number_inpatient
32,glimepiride,change
33,number_inpatient,number_diagnoses
34,glimepiride,diabetesmed
35,number_emergency,readmitted
36,number_outpatient,number_diagnoses
37,metformin,rosiglitazone
38,diag_2,diag_3
39,number_outpatient,number_emergency
40,age,time_in_hospital
41,diag_3,number_diagnoses
42,diag_2,number_diagnoses
43,a1cresult,insulin
44,metformin,glipizide
45,number_outpatient,readmitted
46,time_in_hospital,insulin
47,a1cresult,change
48,diag_1,diag_3
49,num_lab_procedures,insulin
50,age,glyburide
51,time_in_hospital,change
52,number_diagnoses,insulin
53,a1cresult,time_in_hospital
54,a1cresult,diabetesmed
55,diag_1,metformin
56,metformin,num_medications
57,number_inpatient,time_in_hospital
58,metformin,pioglitazone
59,repaglinide,change
60,age,glipizide
61,repaglinide,diabetesmed
62,glipizide,pioglitazone
63,number_emergency,number_diagnoses
64,readmitted,diabetesmed
65,diag_1,time_in_hospital
66,gender,num_procedures
67,age,repaglinide
68,glimepiride,pioglitazone
69,number_inpatient,insulin
70,num_lab_procedures,num_procedures
71,num_lab_procedures,change
72,number_inpatient,num_medications
73,a1cresult,metformin
74,pioglitazone,num_medications
75,num_lab_procedures,readmitted
76,readmitted,time_in_hospital
77,number_outpatient,max_glu_serum
78,number_diagnoses,num_procedures
79,rosiglitazone,num_medications
80,glipizide,num_medications
81,time_in_hospital,diabetesmed
82,readmitted,num_medications
83,diag_3,time_in_hospital
84,number_diagnoses,change
85,glipizide,rosiglitazone
86,glimepiride,rosiglitazone
87,nateglinide,change
88,number_diagnoses,repaglinide
89,race,a1cresult
90,diag_2,time_in_hospital
91,nateglinide,diabetesmed
92,metformin,glimepiride
93,glyburide_metformin,diabetesmed
94,number_emergency,insulin
95,age,glimepiride
96,readmitted,change
97,num_lab_procedures,number_inpatient
98,readmitted,insulin
99,number_emergency,max_glu_serum
100,number_emergency,diag_3
101,num_lab_procedures,diag_3
102,number_outpatient,num_medications
103,glyburide_metformin,change
104,diag_3,insulin
105,gender,glyburide
106,number_emergency,change
107,glyburide,num_medications
108,number_inpatient,max_glu_serum
109,a1cresult,repaglinide
110,acarbose,change
111,glimepiride,num_medications
112,age,readmitted
113,glipizide,acarbose
114,number_emergency,diag_2
115,glyburide,time_in_hospital
116,number_inpatient,diag_2
117,diag_3,a1cresult
118,repaglinide,time_in_hospital
119,max_glu_serum,time_in_hospital
120,race,insulin
121,num_lab_procedures,diabetesmed
122,number_emergency,diabetesmed
123,glimepiride,acarbose
124,glimepiride,miglitol
125,acarbose,diabetesmed
126,glyburide,rosiglitazone
127,number_inpatient,diabetesmed
128,pioglitazone,glyburide_metformin
129,a1cresult,num_medications
130,number_inpatient,change
131,gender,a1cresult
132,repaglinide,pioglitazone
133,nateglinide,miglitol
134,gender,glipizide
135,age,nateglinide
136,number_outpatient,diag_2
137,repaglinide,acarbose
138,age,max_glu_serum
139,diag_3,change
140,a1cresult,glimepiride
141,acarbose,num_medications
142,num_lab_procedures,repaglinide
143,nateglinide,num_medications
144,repaglinide,miglitol
145,glimepiride,troglitazone
146,age,num_lab_procedures
147,diag_2,metformin
148,glipizide,readmitted
149,glyburide,pioglitazone
150,number_diagnoses,diabetesmed
151,max_glu_serum,readmitted
152,age,number_outpatient
153,repaglinide,num_medications
154,a1cresult,glipizide
155,nateglinide,pioglitazone
156,num_lab_procedures,glipizide
157,repaglinide,readmitted
158,num_procedures,insulin
159,number_diagnoses,nateglinide
160,a1cresult,rosiglitazone
161,number_outpatient,change
162,race,number_emergency
163,repaglinide,rosiglitazone
164,number_inpatient,diag_3
165,race,num_lab_procedures
166,diag_2,insulin
167,age,num_medications
168,age,miglitol
169,pioglitazone,readmitted
170,a1cresult,glyburide
171,nateglinide,rosiglitazone
172,diag_1,rosiglitazone
173,glimepiride,insulin
174,number_outpatient,diabetesmed
175,glyburide,acarbose
176,metformin,nateglinide
177,diag_1,pioglitazone
178,miglitol,change
179,number_outpatient,diag_3
180,gender,tolazamide
181,glipizide,time_in_hospital
182,max_glu_serum,glipizide
183,chlorpropamide,diabetesmed
184,glimepiride,time_in_hospital
185,rosiglitazone,glyburide_metformin
186,number_outpatient,insulin
187,number_outpatient,pioglitazone
188,rosiglitazone,readmitted
189,age,chlorpropamide
190,gender,change
191,acarbose,glyburide_metformin
192,race,diag_2
193,number_outpatient,diag_1
194,pioglitazone,acarbose
195,gender,pioglitazone
196,gender,diabetesmed
197,age,pioglitazone
198,rosiglitazone,num_procedures
199,metformin,acarbose
200,num_lab_procedures,diag_2
201,number_emergency,glyburide_metformin
202,gender,acarbose
203,number_emergency,num_medications
204,acetohexamide,num_medications
205,acarbose,readmitted
206,glimepiride,num_procedures
207,max_glu_serum,acarbose
208,gender,nateglinide
209,diag_2,readmitted
210,chlorpropamide,glipizide
211,number_emergency,rosiglitazone
212,num_lab_procedures,number_outpatient
213,race,repaglinide
214,race,rosiglitazone
215,num_lab_procedures,rosiglitazone
216,number_inpatient,glyburide_metformin
217,diag_3,pioglitazone
218,tolazamide,insulin
219,diag_2,glimepiride
220,diag_1,glimepiride
221,repaglinide,glipizide
222,diag_3,glimepiride
223,num_lab_procedures,glipizide_metformin
224,number_diagnoses,tolazamide
225,diag_3,readmitted
226,number_diagnoses,glipizide
227,number_diagnoses,rosiglitazone
228,race,glimepiride
229,max_glu_serum,repaglinide
230,number_inpatient,nateglinide
231,age,diag_1
232,race,num_procedures
233,chlorpropamide,insulin
234,max_glu_serum,pioglitazone
235,gender,readmitted
236,diag_1,change
237,race,max_glu_serum
238,race,glyburide
239,number_outpatient,time_in_hospital
240,age,diabetesmed
241,glyburide,glyburide_metformin
242,diag_3,chlorpropamide
243,max_glu_serum,nateglinide
244,number_outpatient,metformin
245,gender,num_medications
246,max_glu_serum,glyburide_metformin
247,number_inpatient,glimepiride
248,nateglinide,glipizide
249,gender,diag_3
250,number_outpatient,glimepiride
251,race,pioglitazone
252,number_outpatient,a1cresult
253,diag_3,glipizide
254,num_lab_procedures,pioglitazone
255,metformin,insulin
256,diag_2,glipizide
257,diag_1,max_glu_serum
258,gender,number_emergency
259,number_outpatient,num_procedures
260,race,readmitted
261,nateglinide,glyburide
262,number_inpatient,rosiglitazone
263,diag_1,diabetesmed
264,number_inpatient,glipizide
265,glipizide,insulin
266,repaglinide,glyburide
267,metformin,readmitted
268,gender,time_in_hospital
269,gender,diag_2
270,number_inpatient,pioglitazone
271,max_glu_serum,glimepiride
272,metformin,glyburide_metformin
273,number_emergency,glyburide
